,ticker,eps,roce,divYield,fcfYield,eps_rank,roce_rank,fcfYield_rank,overall_rank
0,IX,98931.52925711316,3.025793535417307,21029.330863951494,247294.826777072,2,1,1,4
1,RE,0.1723635667383924,0.5878709677419355,0.0197221721178613,0.3285659091024261,42,8,26,76
2,CVI,0.2525327159581629,0.3712396694214876,0.1487611447711935,0.2252762589691805,13,32,39,84
3,WSM,0.1459862810751064,0.3705816841932163,0.035733331816745,0.2293043140303148,58,33,38,129
4,CEO,0.3861131669992614,0.2370224608896081,0.2108444928445225,0.3019693801471993,6,108,30,144
5,PBR,0.2393083953982756,0.221162475855934,0.188541185248791,0.2809489890521673,14,134,32,180
6,VLO,0.1925256047069078,0.2545248631530379,0.0316408803660928,0.1593593375463063,29,90,78,197
7,TS,0.1912514216379146,0.2347036180577252,0.0310698351451981,0.1876560717108046,30,111,60,201
8,BTU,0.2269880278457772,0.1970460155324998,0.0091440674724602,0.4217925240973072,19,174,19,212
9,WU,0.1416310100417743,0.2738509983498094,0.0789604193363885,0.1437351129066122,62,73,97,232
10,HRB,0.1131749028044859,0.3675644816252913,0.0363674274543763,0.1537361584252744,116,35,83,234
11,ERF,0.1406706333246212,0.3679517067590538,0.0149909549975805,0.1190803640228159,63,34,142,239
12,MO,0.1134141452130721,0.439506807089648,0.094567587995008,0.1268201714799555,115,20,122,257
13,MPC,0.1603278564723698,0.2016145817846629,0.0208835272194668,0.2024923769329269,48,167,54,269
14,CRC,0.1481976641525616,0.2643406268480189,0.0212837070857402,0.1208704353017346,55,80,139,274
15,CIVI,0.1329957386448424,0.259521428072117,0.1119738490732515,0.1237262533772582,73,86,131,290
16,MLI,0.1147620431742703,0.3016465321929781,0.0127283900703023,0.1179860179580934,109,59,145,313
17,HPQ,0.1249264913075971,0.2761265580057526,0.039702351053012,0.1134024723423544,87,72,159,318
18,CIG,0.233270286670182,0.1587279952229761,0.0737779605716843,0.2177596337660354,17,259,43,319
19,APA,0.25834672573803,0.5329439252336449,0.027870680044593,0.0698576785533307,12,10,308,330
20,PBF,0.3896797866029486,0.1836749789649848,0.0192609770719887,0.1231937919150737,5,197,134,336
21,SHG,0.2170850746651896,0.1413014695351873,0.0726280427351298,0.6628703751951701,22,306,11,339
22,TOL,0.1763697532681411,0.178293778710022,0.0117079290118141,0.1534117644518214,41,213,85,339
23,VIPS,0.1163424598901636,0.2183326539317113,0.0,0.1316388551348747,102,141,118,361
24,DHI,0.1296107125847148,0.2273876822374293,0.0093185778987092,0.1134916484703589,80,125,158,363
25,ALSN,0.1285946307442438,0.2031388152077807,0.0158593675360657,0.1259195567020158,84,164,123,371
26,BP,0.1487810200055302,0.1542251925690983,0.0469511073696827,0.173335404500176,54,272,68,394
27,TEX,0.1335550656817625,0.2549773665024236,0.0111381830838844,0.0856247824573616,72,89,234,395
28,OGN,0.2779478627300982,0.1443107221006564,0.0798794444209666,0.146173949314558,9,297,94,400
29,CMC,0.1304583237437719,0.2016054167284975,0.0113706440728381,0.1118974194484038,78,168,165,411
30,ACT,0.1431965763006848,0.1638075398142164,0.0458230076967909,0.1359942625921018,61,245,108,414
31,DVN,0.129444807180093,0.2171174844818993,0.0641869366801742,0.090822097164789,81,143,221,445
32,KBH,0.1401223808475298,0.1231240691652011,0.0134930622947793,0.2486381221520654,64,357,37,458
33,AMG,0.1266077147730826,0.1441330312770575,0.0002822285215628,0.1621685084899984,86,298,76,460
34,NUE,0.1040890198398974,0.2029524825839077,0.0118363967242541,0.1126689317513264,135,165,162,462
35,GGB,0.1823388527046772,0.1433021189193826,0.0652230499836149,0.1243787643222173,35,300,128,463
36,SM,0.177985253242366,0.1717501370042287,0.0155844817402293,0.1033797751788679,40,230,195,465
37,MTG,0.1303203846930812,0.149548955818174,0.0224768477181183,0.1299573625358154,79,281,119,479
38,TMHC,0.1329310366169098,0.1461211593145188,0.0,0.1335903939485449,74,293,115,482
39,VALE,0.1152832692171296,0.1842959800882325,0.0808576187968817,0.1063144548389944,107,195,186,488
40,DQ,0.2161257149716088,0.105803757778126,0.0,0.215953134403251,23,426,44,493
41,BG,0.1493162984338173,0.1242861181792479,0.0254962738743433,0.1439907059796464,52,352,96,500
42,BMY,0.0755931661517068,0.236525508594318,0.0446871003394015,0.11916874080813,252,110,141,503
43,ESNT,0.1243069560450834,0.1397699791706493,0.0189596909419898,0.1354835613169453,90,309,110,509
44,LEN,0.108672063028391,0.1470021382924115,0.011880084493227,0.1401665378586937,124,288,99,511
45,CBT,0.1145122537118053,0.1890726096333572,0.0226451198351435,0.0903231484333565,111,185,223,519
46,EOG,0.108065878348331,0.2413845109720232,0.048184232826896,0.0733578618495715,125,102,293,520
47,CHK,0.236676326269949,0.2405450926351248,0.0476483550613746,0.0539101512090706,16,103,403,522
48,AGCO,0.1289879565726598,0.2450406917599186,0.0503663064165397,0.0644168982371572,83,98,344,525
49,ARW,0.1311349375757246,0.1723020691277076,0.0,0.0903010357461919,77,227,224,528
50,MRO,0.105965720021384,0.1436146425605315,0.0171154412647151,0.1400602245327689,129,299,101,529
51,CRI,0.0848472250065431,0.1617757269180517,0.0408744663950875,0.1712534489824657,211,250,70,531
52,DFS,0.1029786757082411,0.1176822517312281,0.0263401238546249,0.2893210412755345,137,371,31,539
53,NEU,0.0743427889093973,0.2483896031638699,0.0162567496917217,0.101044051962341,261,94,201,556
54,BHP,0.0855217122292672,0.26819690467217,0.0878184411313302,0.0768973959197916,208,78,272,558
55,AB,0.0753782743415154,0.3935760562973516,0.0844958316371243,0.0742837680111773,255,28,282,565
56,SIG,0.1800039670173382,0.1342098734805259,0.0161701490607875,0.0936002859095586,38,320,215,573
57,ICL,0.1001594716816052,0.1369539291413953,0.076889808331166,0.1281496808099534,146,317,120,583
58,BBWI,0.0886277834978701,0.3073790129372304,0.0183715906567338,0.066218480608887,199,55,330,584
59,MAIN,0.1209872535893505,0.1422505046020529,0.0766956405053927,0.1044504717763236,92,302,191,585
60,OC,0.0895509670418747,0.2032985526758667,0.014076573414609,0.089326340870365,195,163,228,586
61,PII,0.0929155239332316,0.1756315422191207,0.027220478670177,0.1016748633016389,179,214,199,592
62,MPLX,0.1068648127471657,0.1277392714938799,0.089670677905972,0.1214199743611508,127,341,138,606
63,SU,0.149504545142688,0.1099288084923108,0.049546473128059,0.1174408217178728,51,410,147,608
64,MSM,0.0603673162644108,0.2553087616073907,0.031080374828951,0.1067739222733389,356,88,183,627
65,BYD,0.0977344073788631,0.1704783956840468,0.010026705330225,0.0852095771594965,161,232,237,630
66,INGR,0.089767108103052,0.1635434412265758,0.0270836998009208,0.1034485647035172,194,247,194,635
67,CPG,0.113919697686426,0.0967532581431653,0.0423278694367064,0.1948000862419825,113,468,56,637
68,SKM,0.1818389639208223,0.0755861331989232,0.1286637399548064,0.3074868279127901,37,572,28,637
69,HP,0.1005055254284397,0.1417828552683871,0.0466423430792714,0.1014598764439108,144,304,200,648
70,RDN,0.1328397602977525,0.108893956331451,0.0321369145152523,0.1130243310459007,75,416,161,652
71,EME,0.0620434267093594,0.2840511282067539,0.0032035490012942,0.0804955911564535,339,65,251,655
72,MAS,0.0602501575926478,0.3675027262813522,0.0170531833714873,0.0776351149596894,357,36,268,661
73,GEF,0.0978637404203692,0.1205814995519267,0.0317403278367845,0.1187605914511106,160,365,143,668
74,G,0.0997367134188203,0.1808763222232129,0.0158019622115783,0.0682604509776557,149,206,313,668
75,NMR,5358916.732284205,0.0535022424888398,1177337.47044421,71289.14973785415,1,669,2,672
76,GIL,0.0917354176841582,0.2307069378020433,0.0230746604990097,0.058213083739276,184,117,376,677
77,MKL,0.1053251707935347,0.1048705585345818,0.0018995952769792,0.1334037217809911,131,431,117,679
78,MTH,0.115808833500041,0.2224262739395764,0.0061974941706652,0.0497536474904067,105,131,450,686
79,NVR,0.0702121926932845,0.2914729512268396,0.0,0.0649928548158094,292,63,338,693
80,AMAT,0.0622903515370889,0.3276961938605129,0.0088583857568059,0.068995468140702,336,46,312,694
81,RNR,0.2751352830943507,0.0552126920315601,0.0118693109231564,0.3545661079162256,10,663,24,697
82,PSX,0.1170510665741241,0.1328024142845167,0.0314027237765504,0.0769383418351085,100,326,271,697
83,HIG,0.1014393613403737,0.0946333352445387,0.0222404989520228,0.1622462628467239,141,481,75,697
84,EBAY,0.1196871782893427,0.1191228070175438,0.0228387532116996,0.0852127723997127,95,367,236,698
85,KT,0.2290342841695347,0.0558612306535879,0.1214720416700468,0.3067933057001538,18,658,29,705
86,TX,0.08272382849241,0.1156376749896969,0.0752728396655645,0.143265280294897,226,382,98,706
87,DKS,0.0815311375917152,0.1908192904043095,0.0273610102189716,0.0732254741697872,233,182,294,709
88,CINF,0.1134627247553133,0.0962815685942721,0.0279501231898601,0.125221477022413,114,471,125,710
89,AVT,0.1069413404427615,0.1150803314517604,0.0240094191085061,0.0993945304547686,126,388,204,718
