,ticker,eps,roce,divYield,eps_rank,roce_rank,overall_rank
106,EVR,0.109066182,0.187649473,0.029126658,184,230,414
107,TEX,0.100897585,0.198159943,0.01197318,205,212,417
108,SSD,0.087761075,0.212270103,0.011533922,238,181,419
109,MO,0.06916466,0.301079822,0.079184176,330,90,420
110,WMS,0.07315415,0.285177592,0.005714577,316,104,420
111,UPS,0.076619262,0.247131209,0.033930629,291,133,424
112,BBY,0.074105161,0.263042204,0.041204349,303,123,426
113,HCA,0.084781035,0.213889411,0.009810742,252,176,428
114,TPR,0.092509132,0.201087423,0.027999826,226,203,429
115,POOL,0.062819301,0.354976238,0.01264205,367,62,429
116,AGCO,0.085982645,0.210349585,0.03907687,243,186,429
117,RDY,0.058081102,0.406030447,0.006415943,397,39,436
118,SWKS,0.09208651,0.199396717,0.026950036,228,208,436
119,CIG,0.170873178,0.133895352,0.087399209,92,345,437
120,TXN,0.057371222,0.418627694,0.028177408,402,38,440
121,YPF,0.449540933,0.106703528,0.0,11,434,445
122,CRI,0.086322265,0.198439265,0.040776929,241,210,451
123,GFI,0.077102204,0.21870374,0.0,288,167,455
124,MC,0.059578952,0.331594292,0.069210972,386,70,456
125,NVO,0.052137549,0.621765835,0.023759323,447,9,456
126,BYD,0.107684565,0.171393048,0.008111496,188,268,456
127,TSN,0.136424154,0.139964453,0.027512345,129,328,457
128,PM,0.05767631,0.356558451,0.049797451,400,61,461
129,HD,0.053261172,0.450717165,0.024253216,435,27,462
130,CLF,0.159668177,0.127515454,0.0,101,363,464
131,BG,0.107646841,0.165554072,0.023334626,189,275,464
132,GWW,0.05463897,0.397095733,0.013068144,423,42,465
133,WES,0.114773024,0.153156161,0.069381824,166,301,467
134,HTZ,0.353003098,0.099860302,0.0,15,456,471
135,EXP,0.085467863,0.18893639,0.0069435,246,226,472
136,DOW,0.126117532,0.139430102,0.055214266,144,329,473
137,WU,0.170788395,0.121103052,0.068307856,93,381,474
138,ASR,0.073355857,0.224895199,0.03312071,313,163,476
139,CTSH,0.077301091,0.204619097,0.019038347,284,193,477
140,WY,0.081742599,0.197435897,0.070307331,265,213,478
141,PSA,0.133953555,0.133464361,0.079594265,132,346,478
142,NRG,0.156620788,0.124845335,0.042586488,107,372,479
143,NEU,0.089538436,0.179098012,0.026990167,232,248,480
144,PAC,0.064507378,0.257797861,0.051362661,355,126,481
145,ALSN,0.111848791,0.145072775,0.016851042,171,312,483
146,ACI,0.139292045,0.130055132,0.389971709,126,358,484
147,VIPS,0.098335489,0.167727965,0.0,212,272,484
148,CSL,0.07569632,0.207646982,0.011010374,296,190,486
149,ALB,0.080431698,0.194255801,0.007261372,270,220,490
150,LRCX,0.053677695,0.35452199,0.010803613,430,63,493
151,TPX,0.075895393,0.201444385,0.011741552,293,200,493
152,RLI,0.097962417,0.16324423,0.061262801,213,281,494
153,CNS,0.054311093,0.328986719,0.03408756,426,71,497
154,SEE,0.067550744,0.228604612,0.016283082,341,158,499
155,SNA,0.075002048,0.201159768,0.025757531,299,202,501
156,MMM,0.08511269,0.177055128,0.049635564,248,253,501
157,MRO,0.194791012,0.107916525,0.011864347,73,429,502
158,MSM,0.060367316,0.255308762,0.031080375,380,127,507
159,KLAC,0.0500691,0.386726386,0.002653431,464,46,510
160,NTAP,0.093352961,0.160289718,0.031655007,224,288,512
161,TLK,0.075342368,0.193262827,0.040436641,298,221,519
162,GSK,0.084169995,0.172300193,0.059300421,255,265,520
163,THC,0.191678621,0.102865961,0.0,75,446,521
164,ULTA,0.047797874,0.44423196,0.0,491,31,522
165,SCCO,0.056514045,0.276516828,0.057955544,408,115,523
166,FRO,0.195707183,0.100992915,0.013824838,72,454,526
167,SIG,0.106364355,0.138348238,0.019623899,192,335,527
168,LOW,0.047384842,0.419845435,0.017446338,497,37,534
169,OMC,0.078499572,0.174339105,0.034649526,276,261,537
170,CHH,0.053201375,0.287227754,0.008416226,437,102,539
171,CR,0.07247528,0.190915008,0.01869248,318,224,542
172,TER,0.051701001,0.301975434,0.00503721,455,88,543
173,ADM,0.085451658,0.155920602,0.017700701,247,297,544
174,GEF,0.095943894,0.14078506,0.028347638,219,326,545
175,CBT,0.057898185,0.237190083,0.023270084,399,146,545
176,TROW,0.063207068,0.212115526,0.044929397,362,183,545
177,TGS,0.102107157,0.134174738,0.0,203,344,547
178,AIT,0.062036441,0.21477693,0.009562235,375,175,550
179,UL,0.063595907,0.205271596,0.036025475,359,191,550
180,AVGO,0.059633439,0.214888892,0.036480412,385,172,557
181,CNHI,0.093307777,0.138152181,0.019452533,225,337,562
182,LKQ,0.077635602,0.161871608,0.019189305,283,283,566
