,ticker,eps,roce,divYield,fcfYield,eps_rank,roce_rank,fcfYield_rank,overall_rank
0,IX,98931.52925711316,3.025793535417307,21029.330863951494,247294.826777072,2,1,1,4
1,RE,0.1723635667383924,0.5878709677419355,0.0197221721178613,0.3285659091024261,39,9,26,74
2,CVI,0.2525327159581629,0.3712396694214876,0.1487611447711935,0.2252762589691805,12,35,40,87
3,AVGO,0.4033344837808383,0.2476014421901735,0.218966917235088,0.5050416810472605,5,97,15,117
4,WSM,0.1459862810751064,0.3705816841932163,0.035733331816745,0.2293043140303148,57,36,39,132
5,CEO,0.3861131669992614,0.2370224608896081,0.2108444928445225,0.3019693801471993,7,110,30,147
6,PBR,0.2393083953982756,0.221162475855934,0.1891655737616171,0.2809489890521673,13,134,32,179
7,VLO,0.1925256047069078,0.2545248631530379,0.0316408803660928,0.1593593375463063,26,92,80,198
8,TS,0.1912514216379146,0.2347036180577252,0.0310698351451981,0.1876560717108046,27,113,62,202
9,BTU,0.2269880278457772,0.1970460155324998,0.0091440674724602,0.4217925240973072,18,177,19,214
10,WU,0.1416310100417743,0.2738509983498094,0.0789604193363885,0.1437351129066122,61,76,98,235
11,HRB,0.1131749028044859,0.3675644816252913,0.0363674274543763,0.1537361584252744,115,38,85,238
12,ERF,0.1406706333246212,0.3679517067590538,0.0149909549975805,0.1190803640228159,62,37,144,243
13,MO,0.1134141452130721,0.439506807089648,0.094567587995008,0.1268201714799555,114,22,123,259
14,MPC,0.1603278564723698,0.2016145817846629,0.0208835272194668,0.2024923769329269,47,169,56,272
15,CRC,0.1481976641525616,0.2643406268480189,0.0212837070857402,0.1208704353017346,54,82,141,277
16,CIVI,0.1329957386448424,0.259521428072117,0.1119738490732515,0.1237262533772582,72,88,132,292
17,MLI,0.1147620431742703,0.3016465321929781,0.0127283902606533,0.1179860179580934,108,62,147,317
18,HPQ,0.1249264913075971,0.2761265580057526,0.039702351053012,0.1134024723423544,86,75,157,318
19,CIG,0.233270286670182,0.1587279952229761,0.0737771916377067,0.2177596337660354,16,261,44,321
20,APA,0.25834672573803,0.5329439252336449,0.027870680044593,0.0698576785533307,11,12,309,332
21,SHG,0.2170850746651896,0.1413014695351873,0.0726280427351298,0.6628703751951701,20,308,11,339
22,TOL,0.1763697532681411,0.178293778710022,0.0117079290118141,0.1534117644518214,38,215,87,340
23,PBF,0.3896797866029486,0.1836749789649848,0.020225846433818,0.1231937919150737,6,200,136,342
24,VIPS,0.1163424598901636,0.2183326539317113,0.0,0.1316388551348747,101,140,118,359
25,DHI,0.1296107125847148,0.2273876822374293,0.0093185778987092,0.1134916484703589,79,126,156,361
26,ALSN,0.1285946307442438,0.2031388152077807,0.0,0.1259195567020158,83,165,124,372
